"chromium_path","from_overlay","from_patch","role","xtb_pattern","notes"
"chrome/app/chromium_strings.grd","True","False","overlay_text_sync","chrome/app/resources/chromium_strings_{lang}.xtb","Reviewed overlay-owned replacements; auto-discover plain branding replacements, with special cases in message_allowlist.csv."
"chrome/app/generated_resources.grd","True","True","mixed_text_and_structural","chrome/app/resources/generated_resources_{lang}.xtb","Process reviewed overlay messages; preserve the thorium_strings.grdp include and exclude feature-patch messages."
"chrome/app/settings_chromium_strings.grdp","True","False","overlay_text_sync","chrome/app/resources/generated_resources_{lang}.xtb","Reviewed overlay-owned replacements; auto-discover plain branding replacements, with special cases in message_allowlist.csv."
"chrome/app/settings_strings.grdp","True","True","overlay_text_and_feature_patch","chrome/app/resources/generated_resources_{lang}.xtb","Process reviewed overlay messages; keep GPC feature messages owned by GPC patch."
"chrome/app/shared_settings_strings.grdp","True","False","overlay_text_sync","chrome/app/resources/generated_resources_{lang}.xtb","Reviewed overlay-owned replacements; auto-discover plain branding replacements, with special cases in message_allowlist.csv."
"chrome/app/extensions_strings.grdp","False","True","feature_patch_messages","chrome/app/resources/generated_resources_{lang}.xtb","Patch-owned extensions messages; not broad overlay branding."
"chrome/app/app_management_strings.grdp","True","False","overlay_text_sync","chrome/app/resources/generated_resources_{lang}.xtb","Reviewed overlay-owned replacements; auto-discover plain branding replacements."
"chrome/app/thorium_strings.grdp","True","False","thorium_added_file","chrome/app/resources/generated_resources_{lang}.xtb","Overlay-added GRDP included by generated_resources.grd; messages use explicit English fallback."
"components/components_chromium_strings.grd","True","False","overlay_text_sync","components/strings/components_chromium_strings_{lang}.xtb","Reviewed overlay-owned replacements; auto-discover plain branding replacements."
"components/components_strings.grd","True","False","overlay_text_sync","components/strings/components_strings_{lang}.xtb","Reviewed overlay-owned replacements; auto-discover plain branding replacements, with special cases in message_allowlist.csv."
"components/error_page_strings.grdp","True","False","overlay_text_sync","components/strings/components_strings_{lang}.xtb","Reviewed overlay-owned replacements including the intentionally narrow Dino customization."
"components/flags_strings.grdp","True","False","overlay_text_sync","components/strings/components_strings_{lang}.xtb","Reviewed overlay-owned replacements; auto-discover plain branding replacements."
"components/management_strings.grdp","True","False","overlay_text_sync","components/strings/components_strings_{lang}.xtb","Reviewed overlay-owned replacements; auto-discover plain branding replacements."
"components/new_or_sad_tab_strings.grdp","True","False","overlay_text_sync","components/strings/components_strings_{lang}.xtb","Reviewed overlay-owned replacements and sad-tab special text."
"components/page_info_strings.grdp","True","False","overlay_text_sync","components/strings/components_strings_{lang}.xtb","Reviewed overlay-owned replacements; auto-discover plain branding replacements."
"components/security_interstitials_strings.grdp","True","False","overlay_text_sync","components/strings/components_strings_{lang}.xtb","Reviewed overlay-owned replacements; auto-discover plain branding replacements."
"components/ssl_errors_strings.grdp","True","False","overlay_text_sync","components/strings/components_strings_{lang}.xtb","Reviewed overlay-owned replacements; auto-discover plain branding replacements."
"components/version_ui_strings.grdp","True","False","overlay_text_sync","components/strings/components_strings_{lang}.xtb","Reviewed overlay-owned replacements with license-specific translation handling."
"components/autofill_strings.grdp","True","False","overlay_text_sync","components/strings/components_strings_{lang}.xtb","Reviewed overlay-owned replacements; auto-discover plain branding replacements."
"components/autofill_payments_strings.grdp","True","False","overlay_text_sync","components/strings/components_strings_{lang}.xtb","Reviewed overlay-owned replacements; auto-discover plain branding replacements."
"components/components_settings_strings.grdp","True","False","overlay_text_sync","components/strings/components_strings_{lang}.xtb","Reviewed overlay-owned replacements; auto-discover plain branding replacements."
"components/heavy_ad_intervention_strings.grdp","True","False","overlay_text_sync","components/strings/components_strings_{lang}.xtb","Reviewed overlay-owned replacements; auto-discover plain branding replacements."
"components/reset_password_strings.grdp","True","False","overlay_text_sync","components/strings/components_strings_{lang}.xtb","Reviewed overlay-owned replacements; auto-discover plain branding replacements."
"chrome/browser/ui/android/strings/android_chrome_strings.grd","True","True","mixed_text_and_feature_messages","chrome/browser/ui/android/strings/translations/android_chrome_strings_{lang}.xtb","Process reviewed overlay messages; keep GPC messages patch-owned. Android Dino customization remains disabled by default."
"chrome/app/theme/theme_resources.grd","False","True","structural_resource","","Auto-detected from current patch series."
